year,annual_co2_emissions
1750,9305937
1751,9407229
1752,9505168
1753,9610490
1754,9733580
1755,9793468
1756,9909914
1757,10093936
1758,10216358
1759,10338854
1760,10514331
1761,10747885
1762,10952198
1763,11191592
1764,11396982
1765,11643486
1766,11876080
1767,12152509
1768,12466936
1769,12780074
1770,13097216
1771,13369488
1772,13623507
1773,13808138
1774,14012415
1775,14338920
1776,14654124
1777,14959537
1778,15243483
1779,15535235
1780,15878726
1781,16234383
1782,16580954
1783,17062752
1784,17471092
1785,17965128
1786,18447496
1787,18859130
1788,19286228
1789,19863424
1790,20398094
1791,20931750
1792,21929214
1793,22297260
1794,22519656
1795,22315246
1796,22121374
1797,22090078
1798,23105928
1799,27485206
1800,32798352
1801,31986050
1802,40310476
1803,29538506
1804,31769176
1805,31251818
1806,32704620
1807,36200652
1808,35497788
1809,36333812
1810,39492310
1811,40176680
1812,40814520
1813,41206140
1814,42226650
1815,43587264
1816,45496580
1817,49275920
1818,51392010
1819,50930170
1820,50733076
1821,52059348
1822,54021710
1823,56357760
1824,57583636
1825,60730864
1826,61382130
1827,65738572
1828,66681790
1829,66307412
1830,88988500
1831,83250904
1832,82091750
1833,83248940
1834,88763100
1835,97399600
1836,106894500
1837,106199420
1838,105845260
1839,109653030
1840,118808510
1841,122165550
1842,129388790
1843,132369384
1844,141966450
1845,155073400
1846,157701780
1847,170796750
1848,173643470
1849,185048030
1850,196847600
1851,198778540
1852,207595090
1853,217236980
1854,255038560
1855,260259860
1856,278245630
1857,281181060
1858,285548400
1859,302572160
1860,332298460
1861,349190180
1862,355991100
1863,379534880
1864,409525400
1865,434851330
1866,449067000
1867,480813900
1868,494493540
1869,524731070
1870,536123300
1871,569776640
1872,630961500
1873,670467200
1874,628662200
1875,681048000
1876,690582500
1877,704032830
1878,709649540
1879,759794370
1880,858055700
1881,887965000
1882,937888260
1883,997514560
1884,1009429800
1885,1017144500
1886,1032613600
1887,1083727500
1888,1200801700
1889,1201516300
1890,1306591200
1891,1368915700
1892,1379808900
1893,1362515100
1894,1411532900
1895,1495238900
1896,1544660900
1897,1617492700
1898,1705961000
1899,1863135400
1900,1961490700
1901,2023963900
1902,2074800300
1903,2262046200
1904,2287509200
1905,2437062000
1906,2544486000
1907,2900324600
1908,2785686800
1909,2901167400
1910,3043326000
1911,3090098200
1912,3246477000
1913,3516533000
1914,3189786400
1915,3140276700
1916,3391973000
1917,3548138500
1918,3499686400
1919,3033839400
1920,3537837000
1921,3106184200
1922,3254462700
1923,3690697700
1924,3702777000
1925,3740633600
1926,3677407500
1927,4012947200
1928,3996311800
1929,4288211500
1930,3958096000
1931,3539320300
1932,3192591600
1933,3362683400
1934,3656187100
1935,3835742500
1936,4207930600
1937,4496715300
1938,4229619200
1939,4470135000
1940,4884664000
1941,4999092700
1942,4982524000
1943,5075273000
1944,5162486300
1945,4289312500
1946,4608547000
1947,5165205500
1948,5447885000
1949,5204035000
1950,5930243600
1951,6381428700
1952,6467460600
1953,6650885000
1954,6789529000
1955,7443896000
1956,7926013000
1957,8185645000
1958,8417187300
1959,8854690000
1960,9387011000
1961,9415042000
1962,9747287000
1963,10266772000
1964,10824465000
1965,11310600000
1966,11862647000
1967,12237369000
1968,12905284000
1969,13761785000
1970,14899124000
1971,15503855000
1972,16224597000
1973,17085094000
1974,17011072000
1975,17052752000
1976,17989112000
1977,18498636000
1978,19069290000
1979,19609020000
1980,19488524000
1981,19022903000
1982,18871097000
1983,18991910000
1984,19647801000
1985,20311902000
1986,20614963000
1987,21250075000
1988,22085130000
1989,22386637000
1990,22728989000
1991,23186102000
1992,22528172000
1993,22755787000
1994,22992947000
1995,23532083000
1996,24258169000
1997,24401906000
1998,24303778000
1999,24853730000
2000,25510554000
2001,25706293000
2002,26276870000
2003,27669490000
2004,28632506000
2005,29614395000
2006,30628397000
2007,31534645000
2008,32074200000
2009,31541922000
2010,33355903000
2011,34504540000
2012,35000020000
2013,35301655000
2014,35450094000
2015,35404900000
2016,35416658000
2017,35989897000
2018,36730425000
2019,37104275000
2020,35126526000
2021,36991734000
2022,37293834000
2023,37791570000